#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD8DE7
#Date Time: 2020-06-09 19:00:13.200
#Sample rate: 33189.5Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 400 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 2.15 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 2.15 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.02476686,-0.1423013835671236
-0.02473673,-0.1343042698707903
-0.02470660000000001,-0.1216421731849291
-0.02467647000000001,-0.1043150935095403
-0.02464634,-0.08332267005666527
-0.02461621,-0.0589981158969847
-0.02458608,-0.03334070945458191
-0.02455595000000001,-0.005684024588095792
-0.02452582,0.02197266027839033
-0.02449569,0.04929613207419589
-0.02446556,0.07462032544591812
-0.02443543000000001,0.09694560118151535
-0.0244053,0.1166051723516681
-0.02437517,0.1315997605322931
-0.02434504,0.1422625787940709
-0.02431491000000001,0.1479272009956404
-0.02428478000000001,0.1479272009956404
-0.02425465,0.1432622180061126
-0.02422452,0.1332658258856959
-0.02419439,0.118937663846432
-0.02416426000000001,0.1002777318883209
-0.02413413,0.07761924308204313
-0.024104,0.052961475851682
-0.02407387,0.025971217126557
-0.02404374000000001,-0.001685467739929124
-0.02401361,-0.02934215260641524
-0.02398348,-0.05566598519017914
-0.02395335,-0.0799905393498597
-0.02392322000000001,-0.1016493889440958
-0.02389309000000001,-0.1189764686194847
-0.02386296,-0.1326382045173875
-0.02383283,-0.1409685312844014
-0.0238027,-0.1443006619912069
-0.02377257000000001,-0.1426345966378042
-0.02374244,-0.1359703352241931
-0.02371231,-0.123974664679693
-0.02368218,-0.1076472242163458
-0.02365205000000001,-0.08732122690483193
-0.02362192,-0.06399631195719302
-0.02359179,-0.03767247937342914
-0.02356166,-0.01068222064830413
-0.02353153000000001,0.01697446421818199
-0.02350140000000001,0.04429793601398756
-0.02347127,0.06995534245639035
-0.02344114,0.09328025740402923
-0.02341101,0.1132730416448626
-0.02338088000000001,0.1292672690375292
-0.02335075,0.1405965134406681
-0.02332062,0.1469275617835987
-0.02329049,0.1485936271370015
-0.02326036000000001,0.1445950702888348
-0.02323023,0.1355983173804598
-0.0232001,0.121936581482557
-0.02316997,0.103943075665807
-0.02313984000000001,0.08195101300089033
